,ID,Date,District,Suspected_Local,Suspected_Foreign,Suspected_Total,TotalInfected
0,0331_Colombo,03-31,Colombo,12,0,12,30
1,0331_Gampaha,03-31,Gampaha,41,1,42,11
2,0331_Puttalam,03-31,Puttalam,1,0,1,15
3,0331_Kalutara,03-31,Kalutara,5,0,5,18
4,0331_Anuradhapura,03-31,Anuradhapura,2,0,2,0
5,0331_Kandy,03-31,Kandy,7,0,7,1
6,0331_Kurunegala,03-31,Kurunegala,1,0,1,1
7,0331_Polonnaruwa,03-31,Polonnaruwa,23,1,24,0
8,0331_Jaffna,03-31,Jaffna,8,0,8,1
9,0331_Ratnapura,03-31,Ratnapura,7,0,7,3
10,0331_Kegalle,03-31,Kegalle,0,0,0,1
11,0331_Moneragala,03-31,Moneragala,1,0,1,0
12,0331_Kalmunai,03-31,Kalmunai,0,0,0,0
13,0331_Matale,03-31,Matale,0,0,0,0
14,0331_Galle,03-31,Galle,0,0,0,1
15,0331_Ampara,03-31,Ampara,0,0,0,0
16,0331_Badulla,03-31,Badulla,1,0,1,1
17,0331_Matara,03-31,Matara,2,0,2,1
18,0331_Batticoloa,03-31,Batticoloa,0,0,0,1
19,0331_Hambantota,03-31,Hambantota,5,0,5,0
20,0331_Vavunia,03-31,Vavunia,3,0,3,0
21,0331_Trincomalee,03-31,Trincomalee,0,0,0,0
22,0331_Nuwaraeliya,03-31,Nuwaraeliya,0,0,0,0
23,0331_Kilinochchi,03-31,Kilinochchi,0,0,0,0
24,0331_Mannar,03-31,Mannar,0,0,0,0
25,0331_Mullativu,03-31,Mullativu,0,0,0,0
0,0401_Colombo,04-01,Colombo,34,0,34,32
1,0401_Gampaha,04-01,Gampaha,50,0,50,11
2,0401_Puttalam,04-01,Puttalam,3,0,3,25
3,0401_Kalutara,04-01,Kalutara,9,0,9,24
4,0401_Anuradhapura,04-01,Anuradhapura,2,0,2,0
5,0401_Kandy,04-01,Kandy,3,0,3,4
6,0401_Kurunegala,04-01,Kurunegala,14,0,14,1
7,0401_Polonnaruwa,04-01,Polonnaruwa,21,1,22,0
8,0401_Jaffna,04-01,Jaffna,11,0,11,1
9,0401_Ratnapura,04-01,Ratnapura,7,0,7,3
10,0401_Kegalle,04-01,Kegalle,0,0,0,1
11,0401_Moneragala,04-01,Moneragala,2,0,2,0
12,0401_Kalmunai,04-01,Kalmunai,0,0,0,0
13,0401_Matale,04-01,Matale,0,0,0,0
14,0401_Galle,04-01,Galle,0,0,0,1
15,0401_Ampara,04-01,Ampara,0,0,0,0
16,0401_Badulla,04-01,Badulla,3,0,3,1
17,0401_Matara,04-01,Matara,1,0,1,1
18,0401_Batticoloa,04-01,Batticoloa,0,0,0,1
19,0401_Hambantota,04-01,Hambantota,6,0,6,0
20,0401_Vavunia,04-01,Vavunia,1,0,1,0
21,0401_Trincomalee,04-01,Trincomalee,0,0,0,0
22,0401_Nuwaraeliya,04-01,Nuwaraeliya,0,0,0,0
23,0401_Kilinochchi,04-01,Kilinochchi,0,0,0,0
24,0401_Mannar,04-01,Mannar,0,0,0,0
25,0401_Mullativu,04-01,Mullativu,0,0,0,0
0,0402_Colombo,04-02,Colombo,17,0,17,33
1,0402_Gampaha,04-02,Gampaha,42,1,43,11
2,0402_Puttalam,04-02,Puttalam,5,0,5,25
3,0402_Kalutara,04-02,Kalutara,15,0,15,24
4,0402_Anuradhapura,04-02,Anuradhapura,7,0,7,0
5,0402_Kandy,04-02,Kandy,3,0,3,4
6,0402_Kurunegala,04-02,Kurunegala,19,0,19,2
7,0402_Polonnaruwa,04-02,Polonnaruwa,31,1,32,0
8,0402_Jaffna,04-02,Jaffna,6,0,6,4
9,0402_Ratnapura,04-02,Ratnapura,3,0,3,3
10,0402_Kegalle,04-02,Kegalle,0,0,0,1
11,0402_Moneragala,04-02,Moneragala,3,0,3,0
12,0402_Kalmunai,04-02,Kalmunai,0,0,0,0
13,0402_Matale,04-02,Matale,0,0,0,0
14,0402_Galle,04-02,Galle,6,0,6,1
15,0402_Ampara,04-02,Ampara,0,0,0,0
16,0402_Badulla,04-02,Badulla,2,0,2,1
17,0402_Matara,04-02,Matara,1,0,1,1
18,0402_Batticoloa,04-02,Batticoloa,0,0,0,1
19,0402_Hambantota,04-02,Hambantota,6,0,6,0
20,0402_Vavunia,04-02,Vavunia,2,0,2,0
21,0402_Trincomalee,04-02,Trincomalee,0,0,0,0
22,0402_Nuwaraeliya,04-02,Nuwaraeliya,0,0,0,0
23,0402_Kilinochchi,04-02,Kilinochchi,0,0,0,0
24,0402_Mannar,04-02,Mannar,0,0,0,0
25,0402_Mullativu,04-02,Mullativu,0,0,0,0
0,0403_Colombo,04-03,Colombo,31,0,31,36
1,0403_Gampaha,04-03,Gampaha,38,0,38,11
2,0403_Puttalam,04-03,Puttalam,4,0,4,25
3,0403_Kalutara,04-03,Kalutara,7,0,7,24
4,0403_Anuradhapura,04-03,Anuradhapura,12,0,12,0
5,0403_Kandy,04-03,Kandy,1,0,1,4
6,0403_Kurunegala,04-03,Kurunegala,9,0,9,2
7,0403_Polonnaruwa,04-03,Polonnaruwa,41,0,41,0
8,0403_Jaffna,04-03,Jaffna,4,0,4,4
9,0403_Ratnapura,04-03,Ratnapura,8,0,8,3
10,0403_Kegalle,04-03,Kegalle,0,0,0,1
11,0403_Moneragala,04-03,Moneragala,3,0,3,0
12,0403_Kalmunai,04-03,Kalmunai,0,0,0,0
13,0403_Matale,04-03,Matale,0,0,0,0
14,0403_Galle,04-03,Galle,1,0,1,1
15,0403_Ampara,04-03,Ampara,0,0,0,0
16,0403_Badulla,04-03,Badulla,0,0,0,1
17,0403_Matara,04-03,Matara,1,0,1,1
18,0403_Batticoloa,04-03,Batticoloa,0,0,0,1
19,0403_Hambantota,04-03,Hambantota,11,0,11,0
20,0403_Vavunia,04-03,Vavunia,1,0,1,0
21,0403_Trincomalee,04-03,Trincomalee,0,0,0,0
22,0403_Nuwaraeliya,04-03,Nuwaraeliya,0,0,0,0
23,0403_Kilinochchi,04-03,Kilinochchi,0,0,0,0
24,0403_Mannar,04-03,Mannar,0,0,0,0
25,0403_Mullativu,04-03,Mullativu,0,0,0,0
0,0404_Colombo,04-04,Colombo,39,0,39,38
1,0404_Gampaha,04-04,Gampaha,45,0,45,11
2,0404_Puttalam,04-04,Puttalam,26,0,26,26
3,0404_Kalutara,04-04,Kalutara,18,0,18,25
4,0404_Anuradhapura,04-04,Anuradhapura,10,0,10,0
5,0404_Kandy,04-04,Kandy,3,0,3,4
6,0404_Kurunegala,04-04,Kurunegala,6,0,6,2
7,0404_Polonnaruwa,04-04,Polonnaruwa,25,0,25,0
8,0404_Jaffna,04-04,Jaffna,4,0,4,7
