index,month,temp,humidity,sun_hours
1.0,0,27,77.0,8.79
2.0,0,27,75.0,9.46
3.0,0,26.5,78.0,8.88
4.0,0,27,79.0,8.5
5.0,0,26,76.0,9.18
6.0,0,26.5,76.0,9.13
7.0,0,26.5,79.0,8.65
8.0,0,25,79.0,8.02
9.0,0,24,79.0,8.02
10.0,0,15,79.0,8.12
11.0,0,24.5,80.0,7.27
12.0,0,23,79.0,8.12
13.0,0,18,79.0,8.13
14.0,0,26,77.0,5.98
15.0,0,27,77.0,5.98
16.0,0,26,82.0,6.29
17.0,0,26,80.0,7.27
18.0,0,26,76.0,8.88
19.0,0,26,81.0,7.44
20.0,0,26,82.0,6.29
21.0,0,25.5,75.0,7.05
22.0,0,26,81.0,7.44
23.0,0,27,75.0,7.05
24.0,0,26.5,75.0,8.23
25.0,0,27,75.0,7.05
,0,,74.0,9.18
,0,NOAA,71.0,10.0
1.0,1,28.0,76.0,8.8
2.0,1,28.0,76.0,9.27
3.0,1,27.5,73.0,9.89
4.0,1,27.0,73.0,9.82
5.0,1,26.0,76.0,9.04
6.0,1,27.0,78.0,8.39
7.0,1,26.5,78.0,8.39
8.0,1,26.5,79.0,8.39
9.0,1,24.5,78.0,7.67
10.0,1,15.5,79.0,8.39
11.0,1,25.5,79.0,8.39
12.0,1,23.5,76.0,5.93
13.0,1,18.0,76.0,5.93
14.0,1,26.5,80.0,6.18
15.0,1,27.0,78.0,7.68
16.0,1,27.0,73.0,9.46
17.0,1,27.0,75.0,8.16
18.0,1,27.0,80.0,6.18
19.0,1,27.0,73.0,8.53
20.0,1,26.0,75.0,8.16
21.0,1,26.0,73.0,8.53
22.0,1,27.0,74.0,9.125
23.0,1,27.0,73.0,8.53
24.0,1,27.5,76.0,8.4
25.0,1,27.0,75.0,8.16
,1,,76.0,7.77
,1,,75.0,8.69
1.0,2,28.5,75.0,8.94
2.0,2,28.5,73.0,9.61
3.0,2,28.0,77.0,8.5
4.0,2,28.5,71.0,9.37
5.0,2,28.5,71.0,9.37
