,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
0,03-31,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
1,04-01,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
2,04-02,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
3,04-03,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
4,04-04,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
5,04-05,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
6,04-06,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
7,04-07,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
8,04-08,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
9,04-09,0,0,0,0,2,6,1,1,1,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
10,04-10,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,1,1,1,0,0,0,0,0,0
11,04-11,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
12,04-12,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
13,04-13,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
14,04-14,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
15,04-15,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
16,04-16,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
17,04-17,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
18,04-18,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
19,04-19,0,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,2,1,0,0,0,0,0,0
20,04-20,1,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
21,04-21,1,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
22,04-22,1,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
23,04-23,1,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
24,04-24,1,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
25,04-25,1,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
26,04-26,1,0,0,0,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
27,04-27,1,0,0,1,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
28,04-28,1,0,0,1,2,6,1,1,2,0,0,0,0,0,17,17,1,2,0,1,0,0,0,0,0,0
29,04-29,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
30,04-30,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
31,05-01,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
32,05-02,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
33,05-03,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
34,05-04,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
35,05-05,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
36,05-06,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
37,05-07,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
38,05-08,1,0,0,1,2,6,1,1,2,0,0,0,0,0,18,18,1,2,0,1,0,0,0,0,0,0
