,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
0,03-31,1,7,133,117,56,74,127,35,34,92,92,26,26,26,142,142,27,5,5,67,19,19,19,19,19,19
1,04-01,1,7,142,126,58,77,139,37,37,98,98,27,27,27,145,145,29,6,6,70,20,20,20,20,20,20
2,04-02,2,8,155,134,65,77,147,49,41,101,101,29,29,29,155,155,31,7,7,75,24,24,24,24,24,24
3,04-03,3,9,166,141,74,78,150,49,45,107,107,31,31,31,157,157,31,8,8,81,26,26,26,26,26,26
4,04-04,128,9,4,159,94,81,152,50,49,110,110,35,35,35,165,165,31,9,9,90,28,28,28,28,28,28
5,04-05,134,10,6,170,103,85,160,50,50,112,112,38,38,38,173,173,32,16,16,98,30,30,30,30,30,30
6,04-06,146,11,10,184,112,85,164,50,54,113,113,39,39,39,187,187,34,20,20,102,31,31,31,31,31,31
7,04-07,152,11,11,196,121,91,170,50,56,115,115,45,45,45,196,196,34,24,24,109,32,32,32,32,32,32
8,04-08,157,11,20,206,131,95,175,51,56,123,123,47,47,47,207,207,35,26,26,114,32,32,32,32,32,32
9,04-09,172,11,23,222,143,97,183,52,59,131,131,50,50,50,212,212,38,31,31,117,40,40,40,40,40,40
10,04-10,183,11,32,241,150,100,185,52,60,148,148,54,54,54,217,217,38,35,35,121,44,44,44,44,44,44
11,04-11,202,11,39,249,151,102,196,52,60,162,162,55,55,55,217,217,39,35,35,124,47,47,47,47,47,47
12,04-12,232,12,42,260,154,102,199,52,64,164,164,57,57,57,219,219,39,36,36,127,49,49,49,49,49,49
13,04-13,240,13,44,269,159,102,202,52,64,169,169,58,58,58,222,222,40,40,40,127,53,53,53,53,53,53
14,04-14,248,13,48,276,168,104,211,52,65,172,172,61,61,61,223,223,40,42,42,130,54,54,54,54,54,54
15,04-15,280,16,49,278,179,105,217,52,65,179,179,62,62,62,225,225,40,44,44,130,56,56,56,56,56,56
16,04-16,300,16,55,283,188,109,220,52,65,180,180,62,62,62,228,228,41,44,44,131,64,64,64,64,64,64
17,04-17,309,17,57,292,194,109,224,52,65,180,180,63,63,63,229,229,41,53,53,132,65,65,65,65,65,65
18,04-18,320,17,59,296,198,109,230,52,66,182,182,63,63,63,234,234,41,55,55,133,67,67,67,67,67,67
19,04-19,328,17,64,301,206,111,233,52,66,188,188,64,64,64,236,236,41,58,58,134,67,67,67,67,67,67
20,04-20,339,17,66,307,216,118,239,52,69,188,188,64,64,64,237,237,42,58,82,134,72,72,72,72,72,72
21,04-21,356,19,68,315,225,123,248,52,69,190,190,66,66,66,239,239,42,60,83,136,74,74,74,74,74,74
22,04-22,365,19,70,323,234,124,251,52,69,192,192,67,67,67,243,243,43,61,87,137,77,77,77,77,77,77
23,04-23,377,19,76,332,246,126,261,52,73,197,197,68,68,68,247,247,44,61,88,140,77,77,77,77,77,77
24,04-24,392,19,79,343,253,130,272,52,73,204,204,70,70,70,251,251,46,62,90,141,82,82,82,82,82,82
25,04-25,405,21,82,354,281,135,291,52,75,215,215,86,86,86,258,258,50,62,92,151,86,86,86,86,86,86
26,04-26,420,21,85,373,313,141,312,57,76,242,242,102,102,102,263,263,53,64,94,179,88,88,88,88,88,88
27,04-27,430,24,90,382,338,142,329,59,76,259,259,112,112,112,265,265,53,69,97,187,91,91,91,91,91,91
28,04-28,447,24,98,401,366,149,346,59,76,274,274,114,114,114,267,267,56,79,104,197,93,93,93,93,93,93
29,04-29,457,25,104,415,413,154,359,59,80,288,288,118,118,118,276,276,57,83,105,211,100,100,100,100,100,100
30,04-30,464,25,105,421,454,158,371,59,81,293,293,121,121,121,277,277,57,86,109,220,103,103,103,103,103,103
31,05-01,475,26,109,425,490,159,387,59,82,303,303,124,124,124,283,283,60,88,112,233,104,104,104,104,104,104
32,05-02,488,27,110,429,515,161,393,59,93,311,311,126,126,126,288,288,63,88,115,243,105,105,105,105,105,105
33,05-03,497,28,114,446,559,162,408,59,94,317,317,126,126,126,291,291,63,92,121,255,105,105,105,105,105,105
34,05-04,512,28,115,447,601,165,419,59,95,320,320,126,126,126,292,292,63,92,126,258,107,107,107,107,107,107
35,05-05,531,28,120,450,657,168,419,59,96,327,327,126,126,126,292,292,64,94,128,261,110,110,110,110,110,110
36,05-06,537,30,124,452,679,170,438,59,97,331,331,126,126,126,297,297,64,94,128,277,111,111,111,111,111,111
37,05-07,547,30,127,454,710,175,449,59,97,333,333,126,126,126,299,299,64,94,130,285,111,111,111,111,111,111
38,05-08,556,31,132,455,731,178,459,59,99,336,336,126,126,126,304,304,66,94,131,289,113,113,113,113,113,113
39,05-09,562,32,134,477,752,182,461,59,100,336,336,126,126,126,305,305,67,94,132,297,114,114,114,114,114,114
40,05-10,572,32,134,485,758,190,465,59,101,339,339,126,126,126,309,309,67,95,134,301,115,115,115,115,115,115
41,05-11,596,35,134,490,767,193,469,59,103,339,339,126,126,126,311,311,67,96,137,305,118,118,118,118,118,118
42,05-12,609,38,138,493,782,193,474,59,104,340,340,127,127,127,315,315,68,96,140,309,119,119,119,119,119,119
43,05-13,626,39,139,499,788,194,478,59,105,341,341,127,127,127,317,317,68,96,141,310,121,121,121,121,121,121
44,05-14,645,40,140,509,796,196,482,59,105,343,343,127,127,127,320,320,68,96,141,311,122,122,122,122,122,122
45,05-15,659,44,141,514,807,197,491,59,105,343,343,128,128,128,321,321,68,96,143,313,124,124,124,124,124,124
46,05-16,672,46,141,519,811,197,495,59,105,345,345,128,128,128,324,324,70,103,146,315,126,126,126,126,126,126
47,05-17,682,47,143,556,816,206,497,59,105,345,345,128,128,128,326,326,70,118,146,316,127,127,127,127,127,127
48,05-18,701,47,143,556,820,206,503,59,109,345,345,130,130,130,326,326,70,118,149,316,128,128,128,128,128,128
49,05-19,707,48,144,561,825,208,505,59,110,348,348,130,130,130,327,327,70,119,155,321,129,129,129,129,129,129
50,05-20,714,49,145,562,827,210,507,59,110,350,350,130,130,130,327,327,70,123,158,329,129,129,129,129,129,129
51,05-21,728,50,146,572,832,211,509,59,111,352,352,131,131,131,328,328,71,123,163,341,129,129,129,129,129,129
52,05-22,736,56,148,582,839,212,510,59,113,354,354,132,132,132,329,329,71,124,165,349,129,129,129,129,129,129
53,05-23,740,57,161,582,848,213,511,59,116,354,354,133,133,133,330,330,73,126,167,349,129,129,129,129,129,129
