,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
0,03-31,789,469,133,117,58,80,128,120,35,92,0,26,0,0,159,0,28,6,0,68,19,0,0,0,0,0
1,04-01,840,512,142,126,60,83,140,123,38,98,0,27,0,0,162,0,30,7,0,71,20,0,0,0,0,0
2,04-02,865,558,155,134,67,83,148,142,42,101,0,29,0,0,172,0,32,8,0,76,24,0,0,0,0,0
3,04-03,894,592,166,141,76,84,151,156,46,107,0,31,0,0,174,0,32,9,0,82,26,0,0,0,0,0
4,04-04,1053,633,181,159,96,87,153,160,50,110,0,35,0,0,182,0,32,10,0,91,28,0,0,0,0,0
5,04-05,1082,669,205,170,105,91,161,162,51,112,0,38,0,0,190,0,33,17,0,99,30,0,0,0,0,0
6,04-06,1144,724,247,184,114,91,165,171,55,113,0,39,0,0,204,0,35,21,0,103,31,0,0,0,0,0
7,04-07,1179,762,256,196,123,97,171,176,57,115,0,45,0,0,213,0,35,25,0,110,32,0,0,0,0,0
8,04-08,1206,802,266,206,133,101,176,181,57,123,0,47,0,0,224,0,36,27,0,115,32,0,0,0,0,0
9,04-09,1245,845,285,222,145,103,184,184,60,131,0,50,0,0,229,0,39,32,0,118,40,0,0,0,0,0
10,04-10,1282,876,322,241,152,106,186,186,62,148,0,54,0,0,234,0,39,36,0,122,44,0,0,0,0,0
11,04-11,1340,907,336,249,153,108,197,191,62,162,0,55,0,0,234,0,40,37,0,125,47,0,0,0,0,0
12,04-12,1388,924,352,260,156,108,200,192,66,164,0,57,0,0,236,0,40,38,0,128,49,0,0,0,0,0
13,04-13,1414,962,360,269,161,108,203,192,66,169,0,58,0,0,239,0,41,42,0,128,53,0,0,0,0,0
14,04-14,1443,1002,368,276,170,110,212,192,67,172,0,61,0,0,240,0,41,44,0,131,54,0,0,0,0,0
15,04-15,1486,1035,380,278,181,111,218,193,67,179,0,62,0,0,242,0,41,46,0,131,56,0,0,0,0,0
16,04-16,1536,1065,394,283,190,115,221,204,67,180,0,62,0,0,245,0,42,46,0,132,64,0,0,0,0,0
17,04-17,1563,1108,435,292,196,115,225,207,67,180,0,63,0,0,246,0,42,55,0,133,65,0,0,0,0,0
18,04-18,1600,1123,447,296,200,115,231,209,68,182,0,63,0,0,251,0,42,57,0,134,67,0,0,0,0,0
19,04-19,1636,1148,457,301,208,117,234,213,68,188,0,64,0,0,253,0,42,60,0,135,67,0,0,0,0,0
20,04-20,1675,1192,465,307,218,124,240,215,71,188,0,64,0,0,254,0,43,60,82,135,72,0,0,0,0,0
21,04-21,1736,1227,492,315,227,129,249,216,71,190,0,66,0,0,256,0,43,62,83,137,74,0,0,0,0,0
22,04-22,1783,1266,513,323,236,130,252,221,71,192,0,67,0,0,260,0,44,63,87,138,77,0,0,0,0,0
23,04-23,1830,1302,531,332,248,132,262,225,75,197,0,68,0,0,264,0,45,63,88,141,77,0,0,0,0,0
24,04-24,1868,1354,543,343,255,136,273,229,75,204,0,70,0,0,268,0,47,64,90,142,82,0,0,0,0,0
25,04-25,1963,1399,567,354,283,141,292,234,77,215,0,86,0,0,275,0,51,64,92,152,86,0,0,0,0,0
