,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
0,03-31,1,3,1,5,2,7,1,18,8,7,7,1,1,1,0,0,1,2,2,5,3,3,3,3,3,3
1,04-01,0,2,3,9,2,3,14,17,11,7,7,2,2,2,0,0,3,1,1,6,1,1,1,1,1,1
2,04-02,1,1,5,15,7,3,19,27,6,3,3,3,3,3,6,6,2,1,1,6,2,2,2,2,2,2
3,04-03,1,1,4,7,12,1,9,27,4,8,8,3,3,3,1,1,0,1,1,11,1,1,1,1,1,1
4,04-04,16,1,0,18,10,3,6,21,4,5,5,7,7,7,2,2,0,2,2,6,0,0,0,0,0,0
5,04-05,6,2,0,12,10,9,12,20,1,3,3,7,7,7,3,3,1,7,7,8,2,2,2,2,2,2
6,04-06,12,1,1,15,9,0,11,22,4,2,2,1,1,1,4,4,2,4,4,5,0,0,0,0,0,0
7,04-07,6,1,1,17,2,6,6,19,2,3,3,6,6,6,3,3,0,4,4,7,1,1,1,1,1,1
8,04-08,5,1,4,16,10,4,12,20,0,9,9,3,3,3,4,4,1,2,2,7,0,0,0,0,0,0
9,04-09,15,1,3,16,1,5,15,21,3,10,10,3,3,3,5,5,3,5,5,5,5,5,5,5,5,5
10,04-10,26,1,0,21,4,0,12,19,1,21,21,4,4,4,5,5,0,4,4,4,1,1,1,1,1,1
11,04-11,19,1,0,8,1,2,3,19,0,18,18,1,1,1,0,0,1,0,0,3,3,3,3,3,3,3
12,04-12,30,2,0,12,3,0,4,19,4,8,8,2,2,2,2,2,0,0,0,3,2,2,2,2,2,2
13,04-13,8,2,0,9,6,0,5,19,0,8,8,1,1,1,2,2,1,2,2,0,3,3,3,3,3,3
14,04-14,8,1,0,10,2,2,12,19,0,3,3,2,2,2,0,0,0,0,0,2,3,3,3,3,3,3
15,04-15,32,0,0,2,4,1,13,19,0,7,7,1,1,1,1,1,0,2,2,0,1,1,1,1,1,1
16,04-16,20,0,0,5,6,4,11,19,0,1,1,0,0,0,1,1,1,0,0,0,2,2,2,2,2,2
17,04-17,9,0,1,9,6,2,14,19,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
18,04-18,11,0,1,4,3,0,6,5,1,2,2,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2
19,04-19,8,0,0,5,5,2,6,5,0,4,4,0,0,0,2,2,0,1,1,2,0,0,0,0,0,0
20,04-20,11,0,0,6,1,8,9,5,3,0,0,0,0,0,0,0,1,0,1,0,3,3,3,3,3,3
21,04-21,17,1,1,8,7,5,10,1,0,2,2,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0
22,04-22,9,0,2,8,7,1,4,4,0,2,2,1,1,1,0,0,1,0,4,2,2,2,2,2,2,2
