,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
0,03-31,12,42,1,5,2,7,1,24,8,7,0,1,0,0,0,0,1,2,0,5,3,0,0,0,0,0
1,04-01,34,50,3,9,2,3,14,22,11,7,0,2,0,0,0,0,3,1,0,6,1,0,0,0,0,0
2,04-02,17,43,5,15,7,3,19,32,6,3,0,3,0,0,6,0,2,1,0,6,2,0,0,0,0,0
3,04-03,31,38,4,7,12,1,9,41,4,8,0,3,0,0,1,0,0,1,0,11,1,0,0,0,0,0
4,04-04,39,45,26,18,10,3,6,25,4,5,0,7,0,0,2,0,0,2,0,6,0,0,0,0,0,0
5,04-05,32,41,4,12,10,9,12,29,1,3,0,7,0,0,3,0,1,7,0,8,2,0,0,0,0,0
6,04-06,44,71,4,15,9,0,11,33,4,2,0,1,0,0,4,0,2,4,0,5,0,0,0,0,0,0
7,04-07,49,69,9,17,2,6,6,26,2,3,0,6,0,0,3,0,0,4,0,7,1,0,0,0,0,0
8,04-08,37,50,5,16,10,4,12,26,0,9,0,3,0,0,4,0,1,2,0,7,0,0,0,0,0,0
9,04-09,36,52,6,16,1,5,15,24,3,10,0,3,0,0,5,0,3,5,0,5,5,0,0,0,0,0
10,04-10,51,34,2,21,4,0,12,23,2,21,0,4,0,0,5,0,0,4,0,4,1,0,0,0,0,0
11,04-11,48,27,1,8,1,2,3,24,0,18,0,1,0,0,0,0,1,1,0,3,3,0,0,0,0,0
12,04-12,50,16,3,12,3,0,4,23,4,8,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0,0
13,04-13,23,19,0,9,6,0,5,19,0,8,0,1,0,0,2,0,1,2,0,0,3,0,0,0,0,0
14,04-14,30,36,5,10,2,2,12,19,0,3,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0
15,04-15,49,23,1,2,4,1,13,20,0,7,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0
16,04-16,49,26,1,5,6,4,11,30,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0
17,04-17,33,33,5,9,6,2,14,27,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
18,04-18,38,22,3,4,3,0,6,8,1,2,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0
19,04-19,42,30,1,5,5,2,6,11,0,4,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0
20,04-20,31,38,1,6,1,8,9,7,3,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0
21,04-21,48,44,2,8,7,5,10,3,0,2,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0
22,04-22,36,41,4,8,7,1,4,9,0,2,0,1,0,0,0,0,1,0,4,2,2,0,0,0,0,0
23,04-23,45,31,6,11,11,2,11,12,4,5,0,1,0,0,3,0,1,0,3,3,0,0,0,0,0,0
24,04-24,45,46,3,12,5,5,11,9,0,7,0,2,0,0,3,0,2,1,2,4,4,0,0,0,0,0
25,04-25,69,35,2,11,18,6,25,11,2,11,0,15,0,0,3,0,4,0,4,8,3,0,0,0,0,0
26,04-26,56,41,4,24,25,6,32,8,1,27,0,7,0,0,5,0,5,2,2,19,2,0,0,0,0,0
27,04-27,52,46,7,10,21,1,43,8,0,17,0,9,0,0,2,0,1,5,4,7,3,0,0,0,0,0
28,04-28,90,47,10,26,20,7,25,15,0,16,0,2,0,0,0,0,3,10,7,7,2,0,0,0,0,0
29,04-29,49,34,5,14,33,6,27,8,4,14,0,4,0,0,4,0,2,4,8,5,4,0,0,0,0,0
30,04-30,44,24,4,6,10,4,20,11,1,5,0,3,0,0,1,0,0,3,2,8,3,0,0,0,0,0
31,05-01,45,22,5,4,8,1,27,2,1,10,0,4,0,0,2,0,3,2,3,4,0,0,0,0,0,0
32,05-02,44,33,9,4,19,2,18,11,11,8,0,2,0,0,3,0,3,0,5,1,1,0,0,0,0,0
33,05-03,43,39,7,17,10,1,25,8,1,6,0,0,0,0,1,0,0,4,1,6,0,0,0,0,0,0
34,05-04,57,21,4,0,12,3,15,5,1,3,0,0,0,0,1,0,0,0,5,3,2,0,0,0,0,0
35,05-05,49,20,5,3,24,3,15,3,0,7,0,0,0,0,0,0,1,2,2,3,2,0,0,0,0,0
36,05-06,54,37,7,3,13,2,10,3,1,7,0,0,0,0,5,0,1,0,2,2,1,0,0,0,0,0
37,05-07,36,21,22,2,15,5,14,5,0,3,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0
38,05-08,61,20,6,1,12,3,12,2,0,2,0,0,0,0,3,0,2,0,1,3,1,0,0,0,0,0
39,05-09,38,43,8,3,19,5,3,4,1,0,0,0,0,0,1,0,2,0,1,2,2,0,0,0,0,0
40,05-10,48,22,6,2,6,8,6,3,1,3,0,0,0,0,2,0,0,1,2,3,2,0,0,0,0,0
41,05-11,51,26,4,2,6,3,2,6,2,0,0,0,0,0,1,0,0,1,3,3,3,0,0,0,0,0
42,05-12,46,24,14,3,6,2,6,1,1,1,0,1,0,0,3,0,1,0,6,0,0,0,0,0,0,0
43,05-13,47,27,11,6,3,2,4,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
44,05-14,53,21,14,3,6,3,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,05-15,47,30,7,3,7,1,10,1,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
